Label,Id,Sector

3M,1

A. O. Smith,2

Abbott Laboratories,3

AbbVie,4

Abiomed,5

Accenture,6

Activision Blizzard,7

ADM,8

Adobe,9

Advance Auto Parts,10

Advanced Micro Devices,11

AES Corp,12

Aflac,13

Agilent Technologies,14

Air Products & Chemicals,15

Akamai Technologies,16

Alaska Air Group,17

Albemarle Corporation,18

Alexandria Real Estate Equities,19

Align Technology,20

Allegion,21

Alliant Energy,22

Allstate Corp,23

Alphabet (Class A),24

Alphabet (Class C),25

Altria Group,26

Amazon,27

Amcor,28

Ameren Corp,29

American Airlines Group,30

American Electric Power,31

American Express,32

American International Group,33

American Tower,34

American Water Works,35

Ameriprise Financial,36

AmerisourceBergen,37

Ametek,38

Amgen,39

Amphenol,40

Analog Devices,41

Ansys,42

Aon,43

APA Corporation,44

Apple,45

Applied Materials,46

Aptiv,47

Arista Networks,48

Arthur J. Gallagher & Co.,49

Assurant,50

AT&T,51

Atmos Energy,52

Autodesk,53

Automatic Data Processing,54

AutoZone,55

AvalonBay Communities,56

Avery Dennison,57

Baker Hughes,58

Bank of America,59

Bath & Body Works Inc.,60

Baxter International,61

Becton Dickinson,62

Best Buy,63

Bio-Rad Laboratories,64

Bio-Techne,65

Biogen,66

BlackRock,67

BNY Mellon,68

Boeing,69

Booking Holdings,70

BorgWarner,71

Boston Properties,72

Boston Scientific,73

Bristol Myers Squibb,74

Broadcom,75

Broadridge Financial Solutions,76

Brown & Brown,77

C. H. Robinson,78

Cadence Design Systems,79

Caesars Entertainment,80

Campbell Soup,81

Capital One Financial,82

Cardinal Health,83

CarMax,84

Carnival Corporation,85

Carrier Global,86

Catalent,87

Caterpillar,88

Cboe Global Markets,89

CBRE,90

CDW,91

Celanese,92

Centene Corporation,93

CenterPoint Energy,94

Ceridian,95

CF Industries,96

Charles River Laboratories,97

Charles Schwab Corporation,98

Charter Communications,99

Chevron Corporation,100

Chipotle Mexican Grill,101

Chubb,102

Church & Dwight,103

Cigna,104

Cincinnati Financial,105

Cintas Corporation,106

Cisco Systems,107

Citigroup,108

Citizens Financial Group,109

Citrix Systems,110

Clorox,111

CME Group,112

CMS Energy,113

Coca-Cola Company,114

Cognizant Technology Solutions,115

Colgate-Palmolive,116

Comcast,117

Comerica,118

Conagra Brands,119

ConocoPhillips,120

Consolidated Edison,121

Constellation Brands,122

Copart,123

Corning,124

Corteva,125

Costco,126

Coterra,127

Crown Castle,128

CSX,129

Cummins,130

CVS Health,131

D. R. Horton,132

Danaher Corporation,133

Darden Restaurants,134

DaVita,135

Deere & Co.,136

Delta Air Lines,137

Dentsply Sirona,138

Devon Energy,139

DexCom,140

Diamondback Energy,141

Digital Realty Trust,142

Discover Financial Services,143

Dish Network,144

Dollar General,145

Dollar Tree,146

Dominion Energy,147

Domino's Pizza,148

Dover Corporation,149

Dow,150

DTE Energy,151

Duke Energy,152

Duke Realty Corp,153

DuPont,154

DXC Technology,155

Eastman Chemical,156

Eaton Corporation,157

eBay,158

Ecolab,159

Edison International,160

Edwards Lifesciences,161

Electronic Arts,162

Eli Lilly & Co,163

Emerson Electric Company,164

Enphase Energy,165

Entergy,166

EOG Resources,167

Equifax,168

Equinix,169

Equity Residential,170

Essex Property Trust,171

Est�e Lauder Companies,172

Etsy,173

Everest Re,174

Evergy,175

Eversource Energy,176

Exelon,177

Expedia Group,178

Expeditors,179

Extra Space Storage,180

ExxonMobil,181

F5 Networks,182

Fastenal,183

Federal Realty Investment Trust,184

FedEx,185

Fidelity National Information Services,186

Fifth Third Bancorp,187

First Republic Bank,188

FirstEnergy,189

Fiserv,190

Fleetcor,191

FMC Corporation,192

Ford,193

Fortinet,194

Fortive,195

Fortune Brands Home & Security,196

Fox Corporation (Class A),197

Fox Corporation (Class B),198

Franklin Resources,199

Freeport-McMoRan,200

Gap,201

Garmin,202

Gartner,203

Generac Holdings,204

General Dynamics,205

General Electric,206

General Mills,207

General Motors,208

Genuine Parts,209

Gilead Sciences,210

Global Payments,211

Globe Life,212

Goldman Sachs,213

Halliburton,214

Hanesbrands,215

Hasbro,216

HCA Healthcare,217

Healthpeak Properties,218

Henry Schein,219

Hess Corporation,220

Hewlett Packard Enterprise,221

Hilton Worldwide,222

Hologic,223

Home Depot,224

Honeywell,225

Hormel,226

Host Hotels & Resorts,227

Howmet Aerospace,228

HP,229

Humana,230

Huntington Bancshares,231

Huntington Ingalls Industries,232

IBM,233

IDEX Corporation,234

Idexx Laboratories,235

Illinois Tool Works,236

Illumina,237

Incyte,238

Ingersoll Rand,239

Intel,240

Intercontinental Exchange,241

International Flavors & Fragrances,242

International Paper,243

Interpublic Group,244

Intuit,245

Intuitive Surgical,246

Invesco,247

IPG Photonics,248

IQVIA,249

Iron Mountain,250

J. B. Hunt,251

Jack Henry & Associates,252

Jacobs Engineering Group,253

JM Smucker,254

Johnson & Johnson,255

Johnson Controls,256

JPMorgan Chase,257

Juniper Networks,258

Kellogg's,259

KeyCorp,260

Keysight Technologies,261

Kimberly-Clark,262

Kimco Realty,263

Kinder Morgan,264

KLA Corporation,265

Kraft Heinz,266

Kroger,267

L3Harris Technologies,268

LabCorp,269

Lam Research,270

Lamb Weston,271

Las Vegas Sands,272

Leggett & Platt,273

Leidos,274

Lennar,275

Lincoln National,276

Linde,277

Live Nation Entertainment,278

LKQ Corporation,279

Lockheed Martin,280

Loews Corporation,281

Lowe's,282

Lumen Technologies,283

LyondellBasell,284

M&T Bank,285

Marathon Oil,286

Marathon Petroleum,287

MarketAxess,288

Marriott International,289

Marsh & McLennan,290

Martin Marietta Materials,291

Masco,292

Mastercard,293

Match Group,294

McCormick & Company,295

McDonald's,296

McKesson Corporation,297

Medtronic,298

Merck & Co.,299

MetLife,300

Mettler Toledo,301

MGM Resorts International,302

Microchip Technology,303

Micron Technology,304

Microsoft,305

Mid-America Apartments,306

Moderna,307

Mohawk Industries,308

Molson Coors Beverage Company,309

Mondelez International,310

Monolithic Power Systems,311

Monster Beverage,312

Moody's Corporation,313

Morgan Stanley,314

Motorola Solutions,315

MSCI,316

Nasdaq,317

NetApp,318

Netflix,319

Newell Brands,320

Newmont,321

News Corp (Class A),322

News Corp (Class B),323

NextEra Energy,324

Nielsen Holdings,325

Nike,326

NiSource,327

Norfolk Southern,328

Northern Trust,329

Northrop Grumman,330

NortonLifeLock,331

Norwegian Cruise Line Holdings,332

NRG Energy,333

Nucor,334

Nvidia,335

NVR,336

NXP,337

O'Reilly Automotive,338

Occidental Petroleum,339

Old Dominion Freight Line,340

Omnicom Group,341

Oneok,342

Oracle,343

Organon & Co.,344

Otis Worldwide,345

Paccar,346

Packaging Corporation of America,347

Parker-Hannifin,348

Paychex,349

Paycom,350

PayPal,351

Penn National Gaming,352

Pentair,353

PepsiCo,354

PerkinElmer,355

Pfizer,356

Philip Morris International,357

Phillips 66,358

Pinnacle West Capital,359

Pioneer Natural Resources,360

PNC Financial Services,361

Pool Corporation,362

PPG Industries,363

PPL,364

Principal Financial Group,365

Procter & Gamble,366

Progressive Corporation,367

Prologis,368

Prudential Financial,369

PTC,370

Public Service Enterprise Group,371

Public Storage,372

PulteGroup,373

PVH,374

Qorvo,375

Qualcomm,376

Quanta Services,377

Quest Diagnostics,378

Ralph Lauren Corporation,379

Raymond James Financial,380

Raytheon Technologies,381

Realty Income Corporation,382

Regency Centers,383

Regeneron Pharmaceuticals,384

Regions Financial Corporation,385

Republic Services,386

ResMed,387

Robert Half International,388

Rockwell Automation,389

