Label,Id,Sector

3M,1,Industrials

A. O. Smith,2,Industrials

Abbott Laboratories,3,Health Care

AbbVie,4,Health Care

Abiomed,5,Health Care

Accenture,6,Information Technology

Activision Blizzard,7,Communication Services

ADM,8,Consumer Staples

Adobe,9,Information Technology

Advance Auto Parts,10,Consumer Discretionary

Advanced Micro Devices,11,Information Technology

AES Corp,12,Utilities

Aflac,13,Financials

Agilent Technologies,14,Health Care

Air Products & Chemicals,15,Materials

Akamai Technologies,16,Information Technology

Alaska Air Group,17,Industrials

Albemarle Corporation,18,Materials

Alexandria Real Estate Equities,19,Real Estate

Align Technology,20,Health Care

Allegion,21,Industrials

Alliant Energy,22,Utilities

Allstate Corp,23,Financials

Alphabet (Class A),24,Communication Services

Alphabet (Class C),25,Communication Services

Altria Group,26,Consumer Staples

Amazon,27,Consumer Discretionary

Amcor,28,Materials

Ameren Corp,29,Utilities

American Airlines Group,30,Industrials

American Electric Power,31,Utilities

American Express,32,Financials

American International Group,33,Financials

American Tower,34,Real Estate

American Water Works,35,Utilities

Ameriprise Financial,36,Financials

AmerisourceBergen,37,Health Care

Ametek,38,Industrials

Amgen,39,Health Care

Amphenol,40,Information Technology

Analog Devices,41,Information Technology

Ansys,42,Information Technology

Aon,43,Financials

APA Corporation,44,Energy

Apple,45,Information Technology

Applied Materials,46,Information Technology

Aptiv,47,Consumer Discretionary

Arista Networks,48,Information Technology

Arthur J. Gallagher & Co.,49,Financials

Assurant,50,Financials

AT&T,51,Communication Services

Atmos Energy,52,Utilities

Autodesk,53,Information Technology

Automatic Data Processing,54,Information Technology

AutoZone,55,Consumer Discretionary

AvalonBay Communities,56,Real Estate

Avery Dennison,57,Materials

Baker Hughes,58,Energy

Bank of America,59,Financials

Bath & Body Works Inc.,60,Consumer Discretionary

Baxter International,61,Health Care

Becton Dickinson,62,Health Care

Best Buy,63,Consumer Discretionary

Bio-Rad Laboratories,64,Health Care

Bio-Techne,65,Health Care

Biogen,66,Health Care

BlackRock,67,Financials

BNY Mellon,68,Financials

Boeing,69,Industrials

Booking Holdings,70,Consumer Discretionary

BorgWarner,71,Consumer Discretionary

Boston Properties,72,Real Estate

Boston Scientific,73,Health Care

Bristol Myers Squibb,74,Health Care

Broadcom,75,Information Technology

Broadridge Financial Solutions,76,Information Technology

Brown & Brown,77,Financials

C. H. Robinson,78,Industrials

Cadence Design Systems,79,Information Technology

Caesars Entertainment,80,Consumer Discretionary

Campbell Soup,81,Consumer Staples

Capital One Financial,82,Financials

Cardinal Health,83,Health Care

CarMax,84,Consumer Discretionary

Carnival Corporation,85,Consumer Discretionary

Carrier Global,86,Industrials

Catalent,87,Health Care

Caterpillar,88,Industrials

Cboe Global Markets,89,Financials

CBRE,90,Real Estate

CDW,91,Information Technology

Celanese,92,Materials

Centene Corporation,93,Health Care

CenterPoint Energy,94,Utilities

Ceridian,95,Information Technology

CF Industries,96,Materials

Charles River Laboratories,97,Health Care

Charles Schwab Corporation,98,Financials

Charter Communications,99,Communication Services

